pow_hashrate_THs,blk
13221986.11,501185
15363575.41,501655
14975580.96,502121
16127548.73,502617
15551564.84,503090
15935554.1,503586
16501289.11,504106
17608758.18,504570
18273239.62,505075
18494733.44,505607
20445148.56,506118
20445148.56,506588
15139761.91,507020
20445148.56,507506
24293141.32,508039
19291612.22,508446
23721537.99,508906
18720008.9,509380
23149934.67,509848
25265138.83,510320
21677190.12,510762
23919658.06,511234
23321666.61,511710
24372959.73,512187
26499459.57,512662
25027267.37,513101
23555075.18,513564
24372959.73,514013
21859737.32,514446
22892480.81,514874
25818587.38,515315
26162835.21,515754
28274794.22,516206
25656757.72,516672
31416438.02,517146
28623865.75,517618
28798401.52,518098
26910340.43,518539
33971919.13,519039
30536556.52,519495
23474977.82,519930
25592018.83,520341
31590148.24,520812
27591395.3,521241
29990647.07,521689
30790397.65,522142
30487010.81,522582
36872803.62,523039
31722970.71,523473
31104990.76,523925
37681533.93,524406
33399541.44,524888
36396936.18,525371
34898238.81,525852
36103754.49,526357
35121339.4,526788
35612546.94,527200
37577377.12,527649
40279018.61,528136
42908653.83,528616
43161057.68,529098
30540865.37,529522
35588942.3,529971
30929068.69,530375
42660784.4,530806
36261666.74,531256
37594816.26,531681
35461777.04,532090
44793365.52,532543
35268339.52,533005
40931868.49,533512
42991333.57,534021
39630250.21,534470
45249464.79,534920
47319701.74,535422
46432457.33,535861
53994493.05,536356
43195594.44,536797
48277429.08,537268
47642199.75,537723
47324585.09,538180
57853309.21,538634
46483294.68,539111
50496240.99,539571
42135936.19,539985
53036795.53,540419
47105048.66,540867
51641090.38,541324
48500753.8,541735
54432500.67,542168
55111696.54,542621
60089527.19,543088
54756137.2,543524
56178374.53,543997
55588275.24,544429
52623567.23,544826
53364744.23,545235
52252978.72,545667
50029447.71,546078
50702736.58,546496
55344536.41,546932
48917428.96,547336
49988613.53,547755
58201028.61,548218
57499331.8,548676
45713754.47,549071
45356615.77,549449
49999418.96,549866
45356615.77,550248
40680711.65,550642
34727436.77,551005
47295461.51,551395
43326611.59,551764
33404486.8,552088
31998005.4,552440
37892374.82,552843
35927585.01,553212
33682110.95,553581
41821954.43,554007
32491732.53,554410
35537832.46,554834
38583932.39,555337
44168448.91,555827
44676132.24,556308
42174589.1,556763
45526212.08,557230
47202023.57,557681
41336683.36,558149
43581703.06,558573
37146820.73,558965
45921660.27,559393
42704219.1,559819
43874197.71,560269
42201068.25,560697
45669649.2,561146
42490116.66,561575
50294423.8,562060
42184762.96,562513
46101919.52,562939
45197960.32,563357
47005878.73,563827
48813797.14,564238
43162133.91,564661
45274965.64,565113
44067633.23,565553
38634637.35,565967
41652968.39,566393
43141131.59,566814
46157993.94,567257
48571483.82,567727
43141131.59,568205
47567250.84,568661
47250135.84,569092
44078985.78,569524
49787055.88,569956
50104170.89,570396
47034242.04,570824
49894432.44,571261
38771469.79,571669
43856252.72,572097
41631660.19,572529
36634060.02,572941
47687440.2,573398
51477170.55,573861
58109198.65,574356
42978500.7,574769
50641334.15,575199
43311667.37,575604
50641334.15,576081
50308167.48,576527
53659544.83,577004
52659677.53,577482
54992701.22,577940
57992303.11,578445
55994233.74,578873
57106701.96,579277
58589992.92,579752
58219170.18,580180
55994233.74,580605
47882020.48,581050
65193212.5,581523
51933576.06,581941
53775192.23,582445
64293187.57,582915
56404452.9,583384
65870934.51,583881
60348820.24,584401
58125055.93,584862
63532037.88,585296
72994256.29,585749
53168655.82,586121
71191928.97,586605
67211666.92,587037
78413611.41,587530
76621300.29,588011
77517455.85,588495
79916269.03,588966
72967028.25,589408
66017787.46,589845
77930771.67,590311
63784218.43,590712
68846457.98,591164
80995832.92,591618
68340234.03,592045
80995832.92,592521
79786349.93,592979
88354011.67,593444
94779757.97,593929
98528109.98,594441
91618125.63,594904
87480532.86,595362
89253786.9,595835
67383653.69,596281
108464284.8,596765
86263992.57,597192
93875521.33,597613
