,blk,window,time,ticket_count,ticket_price,missed,pow_diff
355,51264,144,1470234194,292,48.05185043,11.0,714778.76246155
356,51408,144,1470279575,1358,27.95132212,21.0,726236.75532147
357,51552,144,1470327600,162,38.78958294,23.0,713848.30023451
358,51696,144,1470370470,309,31.19030254,15.0,670581.11237089
359,51840,144,1470413752,2858,19.94720608,13.0,652036.26664642
360,51984,144,1470455570,33,50.66911669,13.0,642292.82998058
361,52128,144,1470497377,8,64.2183719,11.0,647740.90864424
362,52272,144,1470535667,389,40.78999908,14.0,661181.65987141
363,52416,144,1470578403,1179,26.5706831,17.0,708656.5758482
364,52560,144,1470626544,303,33.86361472,22.0,737313.78502257
365,52704,144,1470673718,713,29.06321358,20.0,710490.13422801
366,52848,144,1470711559,631,28.5626573,21.0,667206.85728017
367,52992,144,1470753636,671,27.90819351,20.0,687551.26208614
368,53136,144,1470796727,826,27.65342539,24.0,707206.17234685
369,53280,144,1470840409,439,30.79783526,21.0,718090.91456278
370,53424,144,1470876118,746,27.04947125,18.0,719530.31730814
371,53568,144,1470926096,783,26.84362808,13.0,788700.93680464
372,53712,144,1470973323,606,28.78286043,18.0,762325.78091785
373,53856,144,1471018852,700,28.14508948,18.0,716533.96045392
374,54000,144,1471056125,548,28.08867759,26.0,676671.34639458
375,54144,144,1471093866,1724,25.21222331,8.0,704238.74321458
376,54288,144,1471134844,89,42.74664524,13.0,767776.32260304
377,54432,144,1471179163,221,38.78743178,11.0,822995.51602697
378,54576,144,1471214186,2850,23.90339649,11.0,840302.65601081
379,54720,144,1471263191,36,58.28334198,10.0,938822.83323457
380,54864,144,1471316696,18,71.78841054,13.0,925206.33212665
381,55008,144,1471355168,391,44.90988304,16.0,821215.96591732
382,55152,144,1471384383,998,28.67511493,17.0,814219.88598647
383,55296,144,1471437229,465,31.50736025,8.0,966510.70907672
384,55440,144,1471483542,749,28.0019659,9.0,935761.80096053
385,55584,144,1471522264,690,28.00497707,14.0,889118.69734403
386,55728,144,1471559258,816,28.2992367,10.0,912477.17805463
387,55872,144,1471609269,485,31.04502036,15.0,996838.43486113
388,56016,144,1471644823,959,27.89785615,18.0,961719.82950495
389,56160,144,1471704629,374,31.91705291,17.0,1034370.86114247
390,56304,144,1471742877,1547,26.90230473,10.0,893949.12764141
391,56448,144,1471779418,183,41.34348244,6.0,875368.89910799
392,56592,144,1471813997,187,37.27979488,38.0,937687.49621341
393,56736,144,1471873075,2859,21.87218301,48.0,1081543.39331771
394,56880,144,1471916456,12,52.6301667,31.0,968025.38673654
395,57024,144,1471972314,67,62.91244264,37.0,912604.41717547
396,57168,144,1472013621,328,40.414218,24.0,775450.95597788
397,57312,144,1472047536,2491,24.08919689,51.0,727081.99735221
398,57456,144,1472082202,12,53.54343584,27.0,785357.95244544
399,57600,144,1472125016,208,58.53749371,29.0,908847.68861468
400,57744,144,1472167059,142,40.86366781,10.0,979789.98850446
401,57888,144,1472222811,2595,19.4995796,9.0,1030917.20703109
402,58032,144,1472266857,28,44.07942908,3.0,920067.05396413
403,58176,144,1472303736,212,49.5430412,15.0,859850.2786491
404,58320,144,1472337241,483,35.32949998,15.0,893949.12764141
